study,value,map,cpu_avg_pct,cpu_max_pct,ram_avg_mb
minimum_travel_distance,0.05,house_mtd_005,,,
minimum_travel_distance,0.10,house_mtd_010,,,
minimum_travel_distance,0.30,house_mtd_030,,,
minimum_travel_distance,0.60,house_mtd_060,,,
minimum_travel_heading,0.05,house_mth_005,,,
minimum_travel_heading,0.10,house_mth_010,,,
minimum_travel_heading,0.30,house_mth_030,,,
minimum_travel_heading,0.60,house_mth_060,,,
resolution,0.02,house_res_002,,,
resolution,0.05,house_res_005,,,
resolution,0.10,house_res_010,,,
resolution,0.15,house_res_015,,,
do_loop_closing,true,house_loop_on,,,
do_loop_closing,false,house_loop_off,,,
